day,trades,net,entry_thr,cal_net,skipped
2020-01-15,0,0.0,0.8,0.0,True
2020-01-16,0,0.0,0.6,2260.0,False
2020-01-17,3,142.4993392564242,0.6,56.0,False
2020-01-20,0,0.0,0.8,0.0,True
2020-01-21,6,-289.0543334506729,0.65,1732.0,False
2020-01-22,1,-55.560121043931,0.6,1253.0,False
2020-01-23,0,0.0,0.6,966.0,False
2020-01-24,0,0.0,0.8,0.0,True
2020-01-27,0,0.0,0.8,-547.0,True
2020-01-28,0,0.0,0.8,0.0,True
2020-01-29,0,0.0,0.8,0.0,True
2020-01-30,1,72.05788246634924,0.6,2063.0,False
2020-01-31,0,0.0,0.8,0.0,True
2020-02-01,0,0.0,0.8,0.0,True
2020-02-03,0,0.0,0.8,0.0,True
2020-02-04,0,0.0,0.8,0.0,True
2020-02-05,0,0.0,0.8,0.0,True
2020-02-06,0,0.0,0.8,0.0,True
2020-02-07,0,0.0,0.8,0.0,True
2020-02-10,0,0.0,0.8,0.0,True
2020-02-11,0,0.0,0.8,0.0,True
2020-02-12,0,0.0,0.8,0.0,True
2020-02-13,0,0.0,0.8,0.0,True
2020-02-14,0,0.0,0.8,0.0,True
2020-02-17,0,0.0,0.8,0.0,True
2020-02-18,0,0.0,0.8,958.0,False
2020-02-19,0,0.0,0.6,2359.0,False
2020-02-20,0,0.0,0.8,0.0,True
2020-02-24,0,0.0,0.8,0.0,True
2020-02-25,0,0.0,0.65,241.0,False
2020-02-26,0,0.0,0.8,0.0,True
2020-02-27,0,0.0,0.8,0.0,True
2020-02-28,0,0.0,0.8,0.0,True
2020-03-02,0,0.0,0.8,0.0,True
2020-03-03,0,0.0,0.8,0.0,True
2020-03-04,0,0.0,0.65,3856.0,False
2020-03-05,0,0.0,0.65,6187.0,False
2020-03-06,4,-945.4704676995152,0.6,15.0,False
2020-03-09,0,0.0,0.65,103.0,False
2020-03-11,0,0.0,0.65,3453.0,False
2020-03-12,0,0.0,0.8,0.0,True
2020-03-13,0,0.0,0.8,0.0,True
2020-03-16,0,0.0,0.8,0.0,True
2020-03-17,0,0.0,0.8,0.0,True
2020-03-18,2,86.24647562820834,0.7,11238.0,False
2020-03-19,2,-362.4202810531051,0.7,6026.0,False
2020-03-20,0,0.0,0.8,0.0,True
2020-03-23,0,0.0,0.8,0.0,True
2020-03-24,0,0.0,0.8,0.0,True
2020-03-25,0,0.0,0.8,1922.0,False
2020-03-26,0,0.0,0.8,0.0,True
2020-03-27,0,0.0,0.8,0.0,True
2020-03-30,0,0.0,0.8,2524.0,False
2020-03-31,0,0.0,0.8,0.0,True
2020-04-01,0,0.0,0.8,0.0,True
2020-04-03,0,0.0,0.8,0.0,True
2020-04-07,0,0.0,0.8,0.0,True
2020-04-08,0,0.0,0.8,0.0,True
2020-04-09,0,0.0,0.8,0.0,True
2020-04-13,0,0.0,0.8,0.0,True
2020-04-15,0,0.0,0.8,0.0,True
2020-04-16,0,0.0,0.6,386.0,False
2020-04-17,0,0.0,0.8,0.0,True
2020-04-20,0,0.0,0.8,0.0,True
2020-04-21,0,0.0,0.8,0.0,True
2020-04-22,0,0.0,0.6,525.0,False
2020-04-23,0,0.0,0.8,0.0,True
2020-04-24,4,-2389.5803485634115,0.7,3285.0,False
2020-04-27,0,0.0,0.8,0.0,True
2020-04-28,0,0.0,0.8,0.0,True
2020-04-29,0,0.0,0.65,504.0,False
2020-04-30,0,0.0,0.8,0.0,True
2020-05-04,0,0.0,0.65,663.0,False
2020-05-05,0,0.0,0.8,0.0,True
2020-05-06,0,0.0,0.6,851.0,False
2020-05-07,0,0.0,0.8,0.0,True
2020-05-08,0,0.0,0.6,-57.0,True
2020-05-11,4,1191.7284330743164,0.6,832.0,False
2020-05-12,0,0.0,0.75,187.0,False
2020-05-13,7,-1130.3491628700071,0.6,4099.0,False
2020-05-14,0,0.0,0.8,0.0,True
